"x1","y1","z1","x2","y2","z2","l","r1","r2","p","dl","dr","Q1","Q2","p1","p2","Q1p","Q2p","A1p","A2p"
0.245876,0.87968,-0.166846,0.24088,0.895257,-0.21965,0.0552792,0.114825,0.114825,39,41,-10,0,0,-20.3522,-20.3522,0,0,0,0
0.24088,0.895257,-0.21965,0.224228,0.947181,-0.395661,0.184264,0.114588,0.114588,40,42,-10,0,0,-20.3102,-20.3102,0,0,0,0
0.224228,0.947181,-0.395661,0.207576,0.999105,-0.571671,0.184264,0.114583,0.114583,41,43,44,0,0,-20.3093,-20.3093,0,0,0,0
0.207576,0.999105,-0.571671,0.170109,1.11593,-0.967696,0.414594,0.113733,0.113733,42,45,-10,0,0,-20.1586,-20.1586,0,0,0,0
0.207576,0.999105,-0.571671,-0.245722,0.985209,-0.6428,0.459055,0.032151,0.032151,42,308,-10,0,0,-5.69862,-5.69862,0,0,0,0
0.170109,1.11593,-0.967696,0.165946,1.12892,-1.0117,0.046066,0.113698,0.113698,43,46,-10,0,0,-20.1524,-20.1524,0,0,0,0
0.165946,1.12892,-1.0117,0.153458,1.16786,-1.14371,0.138198,0.113634,0.113634,45,47,-10,0,0,-20.1411,-20.1411,0,0,0,0
0.153458,1.16786,-1.14371,0.124317,1.25873,-1.45173,0.322462,0.113628,0.113628,46,48,49,0,0,-20.14,-20.14,0,0,0,0
0.124317,1.25873,-1.45173,0.166642,1.1465,-1.56905,0.167787,0.0914362,0.0914362,47,50,-10,0,0,-16.2066,-16.2066,0,0,0,0
0.124317,1.25873,-1.45173,-0.0114741,1.44803,-1.62744,0.29181,0.0889019,0.0889019,47,183,-10,0,0,-15.7575,-15.7575,0,0,0,0
0.166642,1.1465,-1.56905,0.186394,1.09412,-1.6238,0.0783006,0.0913835,0.0913835,48,51,-10,0,0,-16.1973,-16.1973,0,0,0,0
0.186394,1.09412,-1.6238,0.265402,0.884625,-1.84281,0.313202,0.0913759,0.0913759,50,52,-10,0,0,-16.196,-16.196,0,0,0,0
0.265402,0.884625,-1.84281,0.271449,0.868593,-1.85957,0.0239696,0.0909503,0.0909503,51,53,-10,0,0,-16.1205,-16.1205,0,0,0,0
0.271449,0.868593,-1.85957,0.325867,0.724297,-2.01042,0.215726,0.0908694,0.0908694,52,54,55,0,0,-16.1062,-16.1062,0,0,0,0
0.325867,0.724297,-2.01042,0.319254,0.577372,-2.17633,0.221712,0.0766483,0.0766483,53,56,-10,0,0,-13.5856,-13.5856,0,0,0,0
0.325867,0.724297,-2.01042,0.624947,0.728198,-2.0933,0.310375,0.0669451,0.0669451,53,137,-10,0,0,-11.8657,-11.8657,0,0,0,0
0.319254,0.577372,-2.17633,0.312641,0.430447,-2.34224,0.221712,0.0766111,0.0766111,54,57,-10,0,0,-13.579,-13.579,0,0,0,0
0.312641,0.430447,-2.34224,0.311054,0.395185,-2.38206,0.0532109,0.0765544,0.0765544,56,58,-10,0,0,-13.5689,-13.5689,0,0,0,0
0.311054,0.395185,-2.38206,0.30735,0.312907,-2.47497,0.124159,0.076542,0.076542,57,59,-10,0,0,-13.5667,-13.5667,0,0,0,0
0.30735,0.312907,-2.47497,0.306557,0.295276,-2.49488,0.0266055,0.0764628,0.0764628,58,60,-10,0,0,-13.5527,-13.5527,0,0,0,0
0.306557,0.295276,-2.49488,0.299414,0.136597,-2.67406,0.239449,0.0764489,0.0764489,59,61,-10,0,0,-13.5502,-13.5502,0,0,0,0
0.299414,0.136597,-2.67406,0.294106,0.0880257,-2.74044,0.08243,0.0761556,0.0761556,60,62,63,0,0,-13.4982,-13.4982,0,0,0,0
0.294106,0.0880257,-2.74044,0.240582,0.0637698,-3.01286,0.27868,0.0369304,0.0369304,61,64,-10,0,0,-6.54574,-6.54574,0,0,0,0
0.294106,0.0880257,-2.74044,0.182639,-0.217836,-2.87904,0.353815,0.0731431,0.0731431,61,70,-10,0,0,-12.9643,-12.9643,0,0,0,0
0.240582,0.0637698,-3.01286,0.2049,0.0475991,-3.19447,0.185787,0.0368066,0.0368066,62,65,-10,0,0,-6.5238,-6.5238,0,0,0,0
0.2049,0.0475991,-3.19447,0.215184,0.0620489,-3.25496,0.063037,0.0342281,0.0342281,64,66,-10,0,0,-6.06677,-6.06677,0,0,0,0
0.215184,0.0620489,-3.25496,0.229581,0.0822785,-3.33964,0.0882519,0.0341108,0.0341108,65,67,-10,0,0,-6.04598,-6.04598,0,0,0,0
0.229581,0.0822785,-3.33964,0.23918,0.0957649,-3.3961,0.0588346,0.0340522,0.0340522,66,68,-10,0,0,-6.0356,-6.0356,0,0,0,0
0.23918,0.0957649,-3.3961,0.247994,0.10815,-3.44795,0.0540318,0.0338776,0.0338776,67,69,-10,0,0,-6.00465,-6.00465,0,0,0,0
0.247994,0.10815,-3.44795,0.253871,0.116407,-3.48252,0.0360212,0.0338137,0.0338137,68,-10,-10,0,0,-5.99332,-5.99332,0,0,0,0
0.182639,-0.217836,-2.87904,0.170254,-0.25182,-2.89444,0.0393128,0.073068,0.073068,63,71,-10,0,0,-12.951,-12.951,0,0,0,0
0.170254,-0.25182,-2.89444,0.133099,-0.353774,-2.94064,0.117938,0.0729565,0.0729565,70,72,-10,0,0,-12.9312,-12.9312,0,0,0,0
0.133099,-0.353774,-2.94064,0.0464021,-0.591666,-3.04844,0.27519,0.0729402,0.0729402,71,73,-10,0,0,-12.9283,-12.9283,0,0,0,0
0.0464021,-0.591666,-3.04844,0.0188794,-0.667188,-3.08266,0.0873618,0.072783,0.072783,72,74,-10,0,0,-12.9005,-12.9005,0,0,0,0
0.0188794,-0.667188,-3.08266,0.0097052,-0.692362,-3.09407,0.0291206,0.0724212,0.0724212,73,75,-10,0,0,-12.8363,-12.8363,0,0,0,0
0.0097052,-0.692362,-3.09407,0.00475111,-0.705955,-3.10023,0.0157251,0.0724051,0.0724051,74,76,-10,0,0,-12.8335,-12.8335,0,0,0,0
0.00475111,-0.705955,-3.10023,-0.0398357,-0.8283,-3.15566,0.141526,0.0723908,0.0723908,75,77,-10,0,0,-12.8309,-12.8309,0,0,0,0
-0.0398357,-0.8283,-3.15566,-0.0728629,-0.918926,-3.19673,0.104834,0.0722967,0.0722967,76,78,-10,0,0,-12.8143,-12.8143,0,0,0,0
-0.0728629,-0.918926,-3.19673,-0.164605,-1.17066,-3.3108,0.291206,0.0722033,0.0722033,77,79,80,0,0,-12.7977,-12.7977,0,0,0,0
-0.164605,-1.17066,-3.3108,-0.0622643,-1.29494,-3.35786,0.167729,0.060364,0.060364,78,81,-10,0,0,-10.6992,-10.6992,0,0,0,0
-0.164605,-1.17066,-3.3108,-0.241674,-1.24879,-3.36931,0.124365,0.0538855,0.0538855,78,117,-10,0,0,-9.55096,-9.55096,0,0,0,0
-0.0622643,-1.29494,-3.35786,0.0400767,-1.41921,-3.40493,0.167729,0.0603379,0.0603379,79,82,-10,0,0,-10.6946,-10.6946,0,0,0,0
0.0400767,-1.41921,-3.40493,0.169026,-1.5758,-3.46422,0.211338,0.0602988,0.0602988,81,83,-10,0,0,-10.6877,-10.6877,0,0,0,0
0.169026,-1.5758,-3.46422,0.183354,-1.5932,-3.47081,0.023482,0.0602792,0.0602792,82,84,-10,0,0,-10.6842,-10.6842,0,0,0,0
0.183354,-1.5932,-3.47081,0.244759,-1.66776,-3.49905,0.100637,0.0602523,0.0602523,83,85,-10,0,0,-10.6794,-10.6794,0,0,0,0
0.244759,-1.66776,-3.49905,0.4202,-1.88081,-3.57973,0.287535,0.0597142,0.0597142,84,86,87,0,0,-10.5841,-10.5841,0,0,0,0
0.4202,-1.88081,-3.57973,0.455953,-2.04435,-3.60113,0.168764,0.0515145,0.0515145,85,88,-10,0,0,-9.13071,-9.13071,0,0,0,0
