-1.47727 3.18182 22.9545
-2.03125 8.51562 22.5
-0.520833 3.95833 21.25
3 8.75 18.5
-0.104167 3.75 9.79167
6.73077 3.84615 5.48077
3.65385 10.8654 3.07692
0.859375 12.1875 -6.09375
3.75 12.3438 -15.0781
2.94118 8.01471 -17.2059
6.42857 2.67857 -24.375
0.390625 0.625 -27.0312
4.53125 1.5625 -34.7656
3.65385 3.46154 -35.6731
5.07813 0.3125 -42.6562
2.83333 1.41667 -43
0 0 -50
1.47727 2.27273 -47.9545
5.07813 2.34375 -49.0625
2.85714 3.125 -46.9643
-1.875 3.90625 -45.8594
1.61765 4.70588 -45.2206
-2.1875 4.14063 -42.6562
-1.25 0.078125 -42.0312
-0.0961538 -0.576923 -43.4615
8 2.75 -44.125
7.08333 8.125 -40.7292
8.38235 9.63235 -46.4706
9.45312 9.21875 -49.0625
11.875 7.34375 -49.2969
5.56818 -1.13636 -42.2727
2.1875 -6.25 -40.4688
6.17647 -8.38235 -44.0441
9.75 -7.16667 -49
9.375 -9.16667 -44.4792
8.5 -12.25 -45.125
2.34375 -4.29688 -46.5625
2.01923 -7.5 -47.6923
-0.375 -8.5 -47.25
1.48438 -2.96875 -46.5625
4.0625 -2.65625 -49.9219
1.04167 -4.58333 -49.8958
14.25 1.83333 -43.3333
16.125 -2.25 -47.5
19.8611 -0.277778 -47.7778
20.5882 0.367647 -45.7353
19.6875 -2.70833 -44.1667
17.2917 -0.104167 -44.1667
15.8333 1.33333 -44.75
15.2885 2.30769 -43.6538
13.8235 0.0735294 -48.9706
14.0179 2.14286 -47.6786
10.3846 -5.96154 -40.2885
9.25 -9 -40.625
9.29687 1.5625 -38.5938
6.34615 -4.90385 -38.0769
10.7692 -2.88462 -35.2885
12.5 -4.02778 -33.3333
14.9219 -5.9375 -34.8438
11.0294 0.367647 -35.5882
9.29687 1.5625 -35.7812
-0.588235 6.32353 -40.0735
-0.267857 10.5357 -41.7857
2.08333 13.5417 -40.7292
-1.25 14.8958 -38.9583
-2.27273 13.9773 -41.5909
-0.340909 17.0455 -40.9091
0.441176 14.6324 -42.3529
2.20588 13.5294 -45.6618
4.03846 11.1538 -44.1346
4.41176 10.7353 -40.2206
5.46875 14.6094 -39.375
1.47059 7.5 -43.6029
-3.52941 8.75 -37.7941
-3.63636 9.43182 -41.5909
-3.92857 9.82143 -40.7143
-4.21875 12.1875 -39.9219
-3.46154 9.51923 -45.5769
-6.78571 10.8036 -47.3214
-5.07353 15.4412 -49.1176
-7.8125 12.6562 -49.4531
-6.71875 14.1406 -45.9375
-8.08824 14.6324 -45.5882
-7.94118 9.55882 -44.6324
-12.5 10.8594 -48.5938
-1.04167 10.4167 -34.6875
-2.32143 9.73214 -33.5714
4.375 3.57143 -38.0357
4.45313 5.78125 -36.5625
6.58333 7.5 -37.6667
-1.01562 3.90625 -36.25
-0.661765 3.23529 -38.6765
0.666667 -0.583333 -37.1667
-0.803571 -1.96429 -37.8571
0.955882 3.23529 -33.9706
2.5 2.69231 -33.9423
-2.69231 1.73077 -34.1346
-5.625 -1.96429 -33.9286
-3.95833 -2.91667 -40.9375
-6.91176 2.05882 -35.8088
-6.47059 0.661765 -41.6176
-11.8333 -1.41667 -37
-12.9412 0.0735294 -40.4412
-14.7321 -0.357143 -39.1071
-17.6471 -3.38235 -41.3971
-13.5 -4.91667 -43
-11.5 4.08333 -42.6667
-11.9643 -1.16071 -42.5
-9.70588 -0.0735294 -43.0882
-10.9615 0.769231 -45.0962
-7.5 -1.40625 -33.6719
-9.89583 -1.04167 -33.75
-6.04167 1.25 -30.9375
-5.55556 4.58333 -31.3889
-10.5208 4.16667 -31.0417
-8.18182 6.02273 -32.5
-7.66667 4.58333 -31.1667
5.85938 2.8125 -32.0312
2.05882 3.97059 -30.8088
4.76563 -4.0625 -31.7188
0.5 -7.33333 -34.75
0.729167 -9.16667 -28.5417
1.04167 -14.1667 -29.8958
2.08333 -18.125 -35.9375
3.94231 -16.3462 -31.1538
4.03846 -28.8462 -40.4808
9.91071 -38.0357 -41.0714
7.29167 -42.0833 -38.6458
5.46875 -41.25 -35.9375
8.33333 -40.1042 -36.875
