0.231152 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.234082 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.237012 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.239941 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.242871 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.245801 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.24873 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.25166 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.25459 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.25752 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.260449 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.263379 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.266309 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.269238 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.272168 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.275098 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.278027 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.280957 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.283887 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.286816 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.289746 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.292676 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.295605 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.298535 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
