0.00263672 6.88813 -0.0661247 6.88813 -0.0661247 0 0  0 0
0.00556641 5.99187 -0.0541547 5.99187 -0.0541547 0 0  0 0
0.00849609 5.81878 -0.048684 5.81878 -0.048684 0 0  0 0
0.0114258 5.79639 -0.0445233 5.79639 -0.0445233 0 0  0 0
0.0143555 5.80057 -0.0405919 5.80057 -0.0405919 0 0  0 0
0.0172852 5.80933 -0.0366999 5.80933 -0.0366999 0 0  0 0
0.0202148 5.81888 -0.0328145 5.81888 -0.0328145 0 0  0 0
0.0231445 5.82858 -0.0289303 5.82858 -0.0289303 0 0  0 0
0.0260742 5.83832 -0.0250463 5.83832 -0.0250463 0 0  0 0
0.0290039 5.84807 -0.0211624 5.84807 -0.0211624 0 0  0 0
0.0319336 5.85783 -0.0172784 5.85783 -0.0172784 0 0  0 0
0.0348633 5.86761 -0.0133944 5.86761 -0.0133944 0 0  0 0
0.037793 5.8774 -0.00951043 5.8774 -0.00951043 0 0  0 0
0.0407227 5.8872 -0.00562644 5.8872 -0.00562644 0 0  0 0
0.0436523 5.89701 -0.00174244 5.89701 -0.00174244 0 0  0 0
0.046582 5.90684 0.00214156 5.90684 0.00214156 0 0  0 0
0.0495117 5.91668 0.00602557 5.91668 0.00602557 0 0  0 0
0.0524414 5.92653 0.00990959 5.92653 0.00990959 0 0  0 0
0.0553711 5.93639 0.0137936 5.93639 0.0137936 0 0  0 0
0.0583008 5.94626 0.0176776 5.94626 0.0176776 0 0  0 0
0.0612305 5.95615 0.0215617 5.95615 0.0215617 0 0  0 0
0.0641602 5.96605 0.0254457 5.96605 0.0254457 0 0  0 0
0.0670898 5.97596 0.0293297 5.97596 0.0293297 0 0  0 0
0.0700195 5.98588 0.0332138 5.98588 0.0332138 0 0  0 0
0.0729492 5.99582 0.0370979 5.99582 0.0370979 0 0  0 0
0.0758789 6.00577 0.0409819 6.00577 0.0409819 0 0  0 0
0.0788086 6.01573 0.044866 6.01573 0.044866 0 0  0 0
0.0817383 6.0257 0.0487501 6.0257 0.0487501 0 0  0 0
0.084668 6.03569 0.0526341 6.03569 0.0526341 0 0  0 0
0.0875977 6.04569 0.0565182 6.04569 0.0565182 0 0  0 0
0.0905273 6.0557 0.0604023 6.0557 0.0604023 0 0  0 0
0.093457 6.06572 0.0642864 6.06572 0.0642864 0 0  0 0
0.0963867 6.07575 0.0681705 6.07575 0.0681705 0 0  0 0
0.0993164 6.0858 0.0720546 6.0858 0.0720546 0 0  0 0
0.102246 6.07825 0.0730696 6.07825 0.0730696 0 0  0 0
0.105176 6.07636 0.0730852 6.07636 0.0730852 0 0  0 0
0.108105 6.07605 0.0730878 6.07605 0.0730878 0 0  0 0
0.111035 6.076 0.0730882 6.076 0.0730882 0 0  0 0
0.113965 6.07599 0.0730882 6.07599 0.0730882 0 0  0 0
0.116895 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.119824 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.122754 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.125684 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.128613 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.131543 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.134473 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.137402 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.140332 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.143262 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.146191 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.149121 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.152051 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.15498 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.15791 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.16084 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.16377 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.166699 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.169629 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.172559 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.175488 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.178418 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.181348 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.184277 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.187207 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.190137 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.193066 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.195996 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.198926 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.201855 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.204785 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.207715 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.210645 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.213574 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.216504 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.219434 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.222363 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.225293 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
0.228223 6.07599 0.0730883 6.07599 0.0730883 0 0  0 0
