"x1","y1","z1","x2","y2","z2","l","r1","r2","Q1","Q2","p1","p2","Q1v","Q2v","p1v","p2v","S1","S2"
-1.07626,0.534775,5.91251,-1.02466,0.550666,5.92561,0.0138884,0.163868,0.163868,0.0302378,0.0302378,1,0.99767,0,0,0,0,0.0302378,0.0302378
-1.02466,0.550666,5.92561,-0.973061,0.566557,5.93871,0.0138908,0.163868,0.163868,0.0302378,0.0302378,0.99767,0.99534,0,0,0,0,0.0302378,0.0302378
-0.973061,0.566557,5.93871,-0.921463,0.582448,5.9518,0.0138884,0.163868,0.163868,0.0302378,0.0302378,0.99534,0.993011,0,0,0,0,0.0302378,0.0302378
-0.921463,0.582448,5.9518,-0.869865,0.59834,5.9649,0.0138908,0.163868,0.163868,0.0302378,0.0302378,0.993011,0.990681,0,0,0,0,0.0302378,0.0302378
-0.869865,0.59834,5.9649,-0.818267,0.614232,5.97799,0.0138884,0.163868,0.163868,0.0302378,0.0302378,0.990681,0.988351,0,0,0,0,0.0302378,0.0302378
-0.818267,0.614232,5.97799,-0.76667,0.630125,5.99109,0.0138878,0.163868,0.163868,0.0302378,0.0302378,0.988351,0.986022,0,0,0,0,0.0302378,0.0302378
-0.76667,0.630125,5.99109,-0.715072,0.646018,6.00419,0.013891,0.163868,0.163868,0.0302378,0.0302378,0.986022,0.983692,0,0,0,0,0.0302378,0.0302378
-0.715072,0.646018,6.00419,-0.663475,0.661911,6.01728,0.0138875,0.163868,0.163868,0.0302378,0.0302378,0.983692,0.981362,0,0,0,0,0.0302378,0.0302378
-0.663475,0.661911,6.01728,-0.611878,0.677805,6.03038,0.0138875,0.163868,0.163868,0.0302378,0.0302378,0.981362,0.979033,0,0,0,0,0.0302378,0.0302378
-0.611878,0.677805,6.03038,-0.606335,0.695025,6.02389,0.00640533,0.0903255,0.0903255,0.0238946,0.0238946,0.979033,0.972134,0,0,0,0,0.0238946,0.0238946
-0.606335,0.695025,6.02389,-0.605179,0.729032,6.01972,0.0141725,0.0903255,0.127259,0.0238946,0.0198391,0.972134,0.96769,0,0,0,0,0.0238946,0.0198391
-0.605179,0.729032,6.01972,-0.606211,0.785086,6.01668,0.0139048,0.127259,0.127259,0.0198391,0.0198391,0.96769,0.963442,0,0,0,0,0.0198391,0.0198391
-0.606211,0.785086,6.01668,-0.606663,0.840152,6.01527,0.0136414,0.127259,0.127259,0.0198391,0.0198391,0.963442,0.959275,0,0,0,0,0.0198391,0.0198391
-0.606663,0.840152,6.01527,-0.606663,0.89418,6.01486,0.0133751,0.127259,0.127259,0.0198391,0.0198391,0.959275,0.955188,0,0,0,0,0.0198391,0.0198391
-0.606663,0.89418,6.01486,-0.60223,0.9472,6.01589,0.0133269,0.127259,0.127259,0.0198391,0.0198391,0.955188,0.951149,0,0,0,0,0.0198391,0.0198391
-0.60223,0.9472,6.01589,-0.588553,0.9993,6.0193,0.013782,0.127259,0.127259,0.0198391,0.0198391,0.951149,0.947048,0,0,0,0,0.0198391,0.0198391
-0.588553,0.9993,6.0193,-0.566356,1.05048,6.02506,0.0143051,0.127259,0.127259,0.0198391,0.0198391,0.947048,0.942797,0,0,0,0,0.0198391,0.0198391
-0.566356,1.05048,6.02506,-0.538747,1.10069,6.03265,0.0146086,0.127259,0.127259,0.0198391,0.0198391,0.942797,0.938422,0,0,0,0,0.0198391,0.0198391
-0.538747,1.10069,6.03265,-0.512735,1.14148,6.03248,0.0199795,0.127259,0.170178,0.0198391,0.0150571,0.938422,0.935854,0,0,0,0,0.0198391,0.0150571
-0.536507,1.1303,6.02412,-0.586547,1.14909,5.97318,0.0184037,0.0844505,0.0844505,0.00478202,0.00478202,0.934475,0.927533,0,0,0,0,0.00478202,0.00478202
-0.586547,1.14909,5.97318,-0.636273,1.16687,5.92201,0.0183325,0.0844505,0.0844505,0.00478202,0.00478202,0.927533,0.92062,0,0,0,0,0.00478202,0.00478202
-0.636273,1.16687,5.92201,-0.685682,1.18368,5.87061,0.0182616,0.0844505,0.0844505,0.00478202,0.00478202,0.92062,0.913733,0,0,0,0,0.00478202,0.00478202
-0.685682,1.18368,5.87061,-0.734768,1.19952,5.81898,0.0181961,0.0844505,0.0844505,0.00478202,0.00478202,0.913733,0.906872,0,0,0,0,0.00478202,0.00478202
-0.734768,1.19952,5.81898,-0.783529,1.21443,5.76712,0.0181325,0.0844505,0.0844505,0.00478202,0.00478202,0.906872,0.900034,0,0,0,0,0.00478202,0.00478202
-0.783529,1.21443,5.76712,-0.831961,1.22841,5.71503,0.0180746,0.0844505,0.0844505,0.00478202,0.00478202,0.900034,0.893219,0,0,0,0,0.00478202,0.00478202
-0.831961,1.22841,5.71503,-0.880059,1.2415,5.66272,0.0180225,0.0844505,0.0844505,0.00478202,0.00478202,0.893219,0.886425,0,0,0,0,0.00478202,0.00478202
-0.880059,1.2415,5.66272,-0.927821,1.25371,5.61018,0.0179758,0.0844505,0.0844505,0.00478202,0.00478202,0.886425,0.879652,0,0,0,0,0.00478202,0.00478202
-0.927821,1.25371,5.61018,-0.975242,1.26506,5.55742,0.0179233,0.0844505,0.0844505,0.00478202,0.00478202,0.879652,0.872897,0,0,0,0,0.00478202,0.00478202
-0.975242,1.26506,5.55742,-1.02232,1.27556,5.50444,0.0178804,0.0844505,0.0844505,0.00478202,0.00478202,0.872897,0.866161,0,0,0,0,0.00478202,0.00478202
-1.02232,1.27556,5.50444,-1.06905,1.28525,5.45124,0.0178337,0.0844505,0.0844505,0.00478202,0.00478202,0.866161,0.859442,0,0,0,0,0.00478202,0.00478202
-1.06905,1.28525,5.45124,-1.11542,1.29413,5.39782,0.0177965,0.0844505,0.0844505,0.00478202,0.00478202,0.859442,0.852739,0,0,0,0,0.00478202,0.00478202
-1.11542,1.29413,5.39782,-1.16144,1.30224,5.34419,0.0177568,0.0844505,0.0844505,0.00478202,0.00478202,0.852739,0.846051,0,0,0,0,0.00478202,0.00478202
-1.16144,1.30224,5.34419,-1.2071,1.30958,5.29034,0.0177171,0.0844505,0.0844505,0.00478202,0.00478202,0.846051,0.839378,0,0,0,0,0.00478202,0.00478202
-1.2071,1.30958,5.29034,-1.25239,1.31618,5.23627,0.0176846,0.0844505,0.0844505,0.00478202,0.00478202,0.839378,0.832717,0,0,0,0,0.00478202,0.00478202
-1.25239,1.31618,5.23627,-1.29732,1.32206,5.18199,0.0176514,0.0844505,0.0844505,0.00478202,0.00478202,0.832717,0.82607,0,0,0,0,0.00478202,0.00478202
-1.29732,1.32206,5.18199,-1.34188,1.32723,5.12751,0.0176206,0.0844505,0.0844505,0.00478202,0.00478202,0.82607,0.819435,0,0,0,0,0.00478202,0.00478202
-1.34188,1.32723,5.12751,-1.38606,1.33173,5.07281,0.0175933,0.0844505,0.0844505,0.00478202,0.00478202,0.819435,0.81281,0,0,0,0,0.00478202,0.00478202
-1.38606,1.33173,5.07281,-1.42986,1.33556,5.0179,0.0175697,0.0844505,0.0844505,0.00478202,0.00478202,0.81281,0.806197,0,0,0,0,0.00478202,0.00478202
-1.42986,1.33556,5.0179,-1.47328,1.33875,4.96279,0.0175403,0.0844505,0.0844505,0.00478202,0.00478202,0.806197,0.799594,0,0,0,0,0.00478202,0.00478202
-1.47328,1.33875,4.96279,-1.51631,1.34131,4.90748,0.0175055,0.0844505,0.0844505,0.00478202,0.00478202,0.799594,0.793001,0,0,0,0,0.00478202,0.00478202
-1.51631,1.34131,4.90748,-1.55895,1.34327,4.85196,0.0174945,0.0844505,0.0844505,0.00478202,0.00478202,0.793001,0.786417,0,0,0,0,0.00478202,0.00478202
-1.55895,1.34327,4.85196,-1.6012,1.34465,4.79624,0.0174637,0.0844505,0.0844505,0.00478202,0.00478202,0.786417,0.779841,0,0,0,0,0.00478202,0.00478202
-1.6012,1.34465,4.79624,-1.64305,1.34547,4.74031,0.0174506,0.0844505,0.0844505,0.00478202,0.00478202,0.779841,0.773273,0,0,0,0,0.00478202,0.00478202
-1.64305,1.34547,4.74031,-1.6845,1.34569,4.68419,0.0174314,0.0844505,0.0844505,0.00478202,0.00478202,0.773273,0.766714,0,0,0,0,0.00478202,0.00478202
-1.6845,1.34569,4.68419,-1.72561,1.34509,4.62784,0.0174484,0.0844505,0.0844505,0.00478202,0.00478202,0.766714,0.760156,0,0,0,0,0.00478202,0.00478202
-1.72561,1.34509,4.62784,-1.76643,1.34333,4.57125,0.0174667,0.0844505,0.0844505,0.00478202,0.00478202,0.760156,0.753593,0,0,0,0,0.00478202,0.00478202
-1.76643,1.34333,4.57125,-1.80697,1.34041,4.51442,0.0174801,0.0844505,0.0844505,0.00478202,0.00478202,0.753593,0.747024,0,0,0,0,0.00478202,0.00478202
-1.80697,1.34041,4.51442,-1.84723,1.33636,4.45734,0.0175143,0.0844505,0.0844505,0.00478202,0.00478202,0.747024,0.740446,0,0,0,0,0.00478202,0.00478202
-1.84723,1.33636,4.45734,-1.88719,1.33119,4.40002,0.0175396,0.0844505,0.0844505,0.00478202,0.00478202,0.740446,0.733859,0,0,0,0,0.00478202,0.00478202
-1.88719,1.33119,4.40002,-1.92686,1.32493,4.34246,0.0175746,0.0844505,0.0844505,0.00478202,0.00478202,0.733859,0.72726,0,0,0,0,0.00478202,0.00478202
-1.92686,1.32493,4.34246,-1.96622,1.31759,4.28466,0.0176085,0.0844505,0.0844505,0.00478202,0.00478202,0.72726,0.720649,0,0,0,0,0.00478202,0.00478202
-1.96622,1.31759,4.28466,-2.00529,1.30921,4.22663,0.0176417,0.0844505,0.0844505,0.00478202,0.00478202,0.720649,0.714025,0,0,0,0,0.00478202,0.00478202
-2.00529,1.30921,4.22663,-2.04404,1.29979,4.16836,0.0176816,0.0844505,0.0844505,0.00478202,0.00478202,0.714025,0.707386,0,0,0,0,0.00478202,0.00478202
-2.04404,1.29979,4.16836,-2.08249,1.28936,4.10986,0.0177256,0.0844505,0.0844505,0.00478202,0.00478202,0.707386,0.700732,0,0,0,0,0.00478202,0.00478202
-2.08249,1.28936,4.10986,-2.12062,1.27794,4.05112,0.0177734,0.0844505,0.0844505,0.00478202,0.00478202,0.700732,0.694061,0,0,0,0,0.00478202,0.00478202
-2.12062,1.27794,4.05112,-2.15843,1.26555,3.99215,0.0178216,0.0844505,0.0844505,0.00478202,0.00478202,0.694061,0.687373,0,0,0,0,0.00478202,0.00478202
-2.15843,1.26555,3.99215,-2.19591,1.25221,3.93296,0.0178668,0.0844505,0.0844505,0.00478202,0.00478202,0.687373,0.680667,0,0,0,0,0.00478202,0.00478202
-2.19591,1.25221,3.93296,-2.23307,1.23794,3.87353,0.0179218,0.0844505,0.0844505,0.00478202,0.00478202,0.680667,0.673942,0,0,0,0,0.00478202,0.00478202
-2.23307,1.23794,3.87353,-2.2699,1.22276,3.81388,0.0179728,0.0844505,0.0844505,0.00478202,0.00478202,0.673942,0.667199,0,0,0,0,0.00478202,0.00478202
-2.2699,1.22276,3.81388,-2.30639,1.20669,3.75401,0.0180238,0.0844505,0.0844505,0.00478202,0.00478202,0.667199,0.660436,0,0,0,0,0.00478202,0.00478202
-2.30639,1.20669,3.75401,-2.34254,1.18976,3.69391,0.0180787,0.0844505,0.0844505,0.00478202,0.00478202,0.660436,0.653653,0,0,0,0,0.00478202,0.00478202
-2.34254,1.18976,3.69391,-2.37835,1.17198,3.63359,0.018133,0.0844505,0.0844505,0.00478202,0.00478202,0.653653,0.646849,0,0,0,0,0.00478202,0.00478202
-2.37835,1.17198,3.63359,-2.41381,1.15337,3.57305,0.0181936,0.0844505,0.0844505,0.00478202,0.00478202,0.646849,0.640024,0,0,0,0,0.00478202,0.00478202
-2.41381,1.15337,3.57305,-2.44892,1.13396,3.51229,0.0182433,0.0844505,0.0844505,0.00478202,0.00478202,0.640024,0.633179,0,0,0,0,0.00478202,0.00478202
-2.44892,1.13396,3.51229,-2.48368,1.11377,3.45132,0.0182953,0.0844505,0.0844505,0.00478202,0.00478202,0.633179,0.626313,0,0,0,0,0.00478202,0.00478202
-2.48368,1.11377,3.45132,-2.51807,1.09281,3.39013,0.0183581,0.0844505,0.0844505,0.00478202,0.00478202,0.626313,0.619426,0,0,0,0,0.00478202,0.00478202
-2.51807,1.09281,3.39013,-2.5521,1.0711,3.32872,0.0184203,0.0844505,0.0844505,0.00478202,0.00478202,0.619426,0.612517,0,0,0,0,0.00478202,0.00478202
-2.5521,1.0711,3.32872,-2.58577,1.04867,3.26711,0.0184679,0.0844505,0.0844505,0.00478202,0.00478202,0.612517,0.605587,0,0,0,0,0.00478202,0.00478202
-2.58577,1.04867,3.26711,-2.61445,1.03364,3.20678,0.0146288,0.0844505,0.0650814,0.00478202,0.00410737,0.605587,0.597029,0,0,0,0,0.00478202,0.00410737
-2.61081,1.03146,3.22078,-2.62539,1.04019,3.16478,0.0146303,0.0447706,0.0650814,0.000674651,0.00410737,0.600378,0.58698,0,0,0,0,0.000674651,0.00410737
-2.62539,1.04019,3.16478,-2.64165,1.04286,3.10943,0.0144388,0.0650814,0.0650814,0.00410737,0.00410737,0.58698,0.573758,0,0,0,0,0.00410737,0.00410737
-2.64165,1.04286,3.10943,-2.65966,1.0391,3.05471,0.0144318,0.0650814,0.0650814,0.00410737,0.00410737,0.573758,0.560541,0,0,0,0,0.00410737,0.00410737
-2.65966,1.0391,3.05471,-2.67953,1.02857,3.00062,0.0146427,0.0650814,0.0650814,0.00410737,0.00410737,0.560541,0.547129,0,0,0,0,0.00410737,0.00410737
-2.67953,1.02857,3.00062,-2.68775,1.01881,2.95822,0.0147652,0.0539941,0.0539941,0.00248889,0.00248889,0.547129,0.534163,0,0,0,0,0.00248889,0.00248889
-2.68775,1.01881,2.95822,-2.70091,1.00808,2.90208,0.0146489,0.0539941,0.0539941,0.00248889,0.00248889,0.534163,0.516979,0,0,0,0,0.00248889,0.00248889
-2.70091,1.00808,2.90208,-2.71726,1.00009,2.84644,0.0146427,0.0539941,0.0539941,0.00248889,0.00248889,0.516979,0.499828,0,0,0,0,0.00248889,0.00248889
-2.71726,1.00009,2.84644,-2.73715,0.99445,2.79131,0.0147552,0.0539941,0.0539941,0.00248889,0.00248889,0.499828,0.482578,0,0,0,0,0.00248889,0.00248889
-2.73715,0.99445,2.79131,-2.75265,1.01984,2.77133,0.0146248,0.0539941,0.0419264,0.00248889,0.000539819,0.482578,0.473148,0,0,0,0,0.00248889,0.000539819
-2.75265,1.01984,2.77133,-2.77325,1.07315,2.75887,0.0146269,0.0419264,0.0419264,0.000539819,0.000539819,0.473148,0.462929,0,0,0,0,0.000539819,0.000539819
-2.77325,1.07315,2.75887,-2.79385,1.12646,2.74642,0.0146248,0.0419264,0.0419264,0.000539819,0.000539819,0.462929,0.452711,0,0,0,0,0.000539819,0.000539819
-2.79385,1.12646,2.74642,-2.81445,1.17977,2.73396,0.0146269,0.0419264,0.0419264,0.000539819,0.000539819,0.452711,0.442492,0,0,0,0,0.000539819,0.000539819
-2.81445,1.17977,2.73396,-2.82749,1.21823,2.71921,0.0148158,0.0419264,0.0240892,0.000539819,0.000230051,0.442492,0.42726,0,0,0,0,0.000539819,0.000230051
-2.83619,1.21898,2.71725,-2.88668,1.26145,2.67889,0.018209,0.0326095,0.0185563,0.000309768,0.000201473,0.431914,0.384565,0,0,0,0,0.000309768,0.000201473
-2.87053,1.25664,2.68579,-2.93513,1.27588,2.6582,0.0182052,0.0194082,0.0185563,0.000108295,0.000201473,0.415506,0.291748,0,0,0,0,0.000108295,0.000201473
-2.93513,1.27588,2.6582,-2.98226,1.27855,2.6517,0.0119097,0.0185563,0.0185563,0.000201473,0.000201473,0.291748,0.210778,0,0,0,0,0.000201473,0.000201473
-2.98226,1.27855,2.6517,-3.01481,1.2532,2.67049,0.0113306,0.0185563,0.0185563,0.000201473,0.000201473,0.210778,0.133745,0,0,0,0,0.000201473,0.000201473
-3.01481,1.2532,2.67049,-3.03523,1.19391,2.71806,0.0196813,0.0185563,0.0185563,0.000201473,0.000201473,0.133745,2.83262e-18,0,0,0,0,0.000201473,0.000201473
-2.88186,1.2582,2.6753,-2.92621,1.26563,2.63335,0.014994,0.0194082,0.0194082,0.000108295,0.000108295,0.403661,0.356686,0,0,0,0,0.000108295,0.000108295
-2.92621,1.26563,2.63335,-2.96587,1.27748,2.59143,0.0140016,0.0194082,0.0194082,0.000108295,0.000108295,0.356686,0.31166,0,0,0,0,0.000108295,0.000108295
-2.96587,1.27748,2.59143,-2.99742,1.29273,2.54955,0.0127628,0.0194082,0.0194082,0.000108295,0.000108295,0.31166,0.269856,0,0,0,0,0.000108295,0.000108295
-2.99742,1.29273,2.54955,-3.01742,1.3104,2.50771,0.0117198,0.0194082,0.0194082,0.000108295,0.000108295,0.269856,0.231713,0,0,0,0,0.000108295,0.000108295
-3.01742,1.3104,2.50771,-3.02448,1.33023,2.46591,0.0118661,0.0194082,0.0194082,0.000108295,0.000108295,0.231713,0.195838,0,0,0,0,0.000108295,0.000108295
-3.02448,1.33023,2.46591,-3.02446,1.35439,2.42414,0.0127023,0.0194082,0.0194082,0.000108295,0.000108295,0.195838,0.158962,0,0,0,0,0.000108295,0.000108295
-3.02446,1.35439,2.42414,-3.02423,1.38473,2.38241,0.0135111,0.0194082,0.0194082,0.000108295,0.000108295,0.158962,0.119556,0,0,0,0,0.000108295,0.000108295
-3.02423,1.38473,2.38241,-3.02368,1.42022,2.34071,0.014231,0.0194082,0.0194082,0.000108295,0.000108295,0.119556,0.0777456,0,0,0,0,0.000108295,0.000108295
-3.02368,1.42022,2.34071,-3.02267,1.45979,2.29905,0.0148043,0.0194082,0.0194082,0.000108295,0.000108295,0.0777456,0.0338767,0,0,0,0,0.000108295,0.000108295
-3.02267,1.45979,2.29905,-3.02159,1.49132,2.26783,0.0147902,0.0194082,0.0194082,0.000108295,0.000108295,0.0338767,9.5515e-19,0,0,0,0,0.000108295,0.000108295
-2.82749,1.21823,2.71921,-2.83775,1.26554,2.68619,0.0141836,0.0240892,0.0240892,0.000230051,0.000230051,0.42726,0.387203,0,0,0,0,0.000230051,0.000230051
-2.83775,1.26554,2.68619,-2.84529,1.31325,2.65773,0.0135689,0.0240892,0.0240892,0.000230051,0.000230051,0.387203,0.348873,0,0,0,0,0.000230051,0.000230051
-2.84529,1.31325,2.65773,-2.85049,1.36135,2.6345,0.0130271,0.0240892,0.0240892,0.000230051,0.000230051,0.348873,0.312169,0,0,0,0,0.000230051,0.000230051
-2.85049,1.36135,2.6345,-2.85374,1.40984,2.61716,0.0125978,0.0240892,0.0240892,0.000230051,0.000230051,0.312169,0.276867,0,0,0,0,0.000230051,0.000230051
-2.85374,1.40984,2.61716,-2.85541,1.4587,2.60635,0.0123586,0.0240892,0.0240892,0.000230051,0.000230051,0.276867,0.242596,0,0,0,0,0.000230051,0.000230051
-2.85541,1.4587,2.60635,-2.85565,1.50794,2.60233,0.0123843,0.0240892,0.0240892,0.000230051,0.000230051,0.242596,0.208792,0,0,0,0,0.000230051,0.000230051
-2.85565,1.50794,2.60233,-2.85356,1.55757,2.60354,0.0125782,0.0240892,0.0240892,0.000230051,0.000230051,0.208792,0.174817,0,0,0,0,0.000230051,0.000230051
-2.85356,1.55757,2.60354,-2.84787,1.60762,2.6078,0.012881,0.0240892,0.0240892,0.000230051,0.000230051,0.174817,0.140253,0,0,0,0,0.000230051,0.000230051
-2.84787,1.60762,2.6078,-2.83895,1.65808,2.61577,0.0132872,0.0240892,0.0240892,0.000230051,0.000230051,0.140253,0.104794,0,0,0,0,0.000230051,0.000230051
-2.83895,1.65808,2.61577,-2.82726,1.70895,2.62821,0.0138473,0.0240892,0.0240892,0.000230051,0.000230051,0.104794,0.0681043,0,0,0,0,0.000230051,0.000230051
-2.82726,1.70895,2.62821,-2.81324,1.7602,2.64589,0.0145338,0.0240892,0.0240892,0.000230051,0.000230051,0.0681043,0.0298138,0,0,0,0,0.000230051,0.000230051
