"x1","y1","z1","x2","y2","z2","l","r1","r2","Q1","Q2","p1","p2","Q1v","Q2v","p1v","p2v","S1","S2"
-1.07626,0.534775,5.91251,-1.02466,0.550666,5.92561,0.0555554,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-1.02466,0.550666,5.92561,-0.973061,0.566557,5.93871,0.0555554,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.973061,0.566557,5.93871,-0.921463,0.582448,5.9518,0.0555555,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.921463,0.582448,5.9518,-0.869865,0.59834,5.9649,0.0555554,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.869865,0.59834,5.9649,-0.818267,0.614232,5.97799,0.0555555,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.818267,0.614232,5.97799,-0.76667,0.630125,5.99109,0.0555554,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.76667,0.630125,5.99109,-0.715072,0.646018,6.00419,0.0555554,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.715072,0.646018,6.00419,-0.663475,0.661911,6.01728,0.0555555,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.663475,0.661911,6.01728,-0.611878,0.677805,6.03038,0.0555554,0.163868,0.163868,0,0,0.0843603,0.0843603,0,0,0,0,0,0
-0.611878,0.677805,6.03038,-0.604488,0.700765,6.02173,0.0256255,0.0903255,0.0903255,0,0,0.0843603,0.0256313,0,0,0,0,0,0
-0.611878,0.677805,6.03038,-0.535359,0.673686,6.03602,0.0768362,0.0867701,0.0867701,0,0,0.0843603,0.0236532,0,0,0,0,0,0
-0.604488,0.700765,6.02173,-0.605871,0.757299,6.01771,0.0566923,0.127259,0.127259,0,0,0.0256313,0.0508776,0,0,0,0,0,0
-0.604488,0.700765,6.02173,-0.55667,0.722423,6.02022,0.0525148,0.0934887,0.0934887,0,0,0.0256313,0.027458,0,0,0,0,0,0
-0.605871,0.757299,6.01771,-0.60655,0.812872,6.01565,0.0556165,0.127259,0.127259,0,0,0.0508776,0.0508776,0,0,0,0,0,0
-0.60655,0.812872,6.01565,-0.606775,0.867432,6.01488,0.0545651,0.127259,0.127259,0,0,0.0508776,0.0508776,0,0,0,0,0,0
-0.606775,0.867432,6.01488,-0.606551,0.92093,6.01484,0.053495,0.127259,0.127259,0,0,0.0508776,0.0508776,0,0,0,0,0,0
-0.606551,0.92093,6.01484,-0.597909,0.97348,6.01694,0.0532992,0.127259,0.127259,0,0,0.0508776,0.0508776,0,0,0,0,0,0
-0.597909,0.97348,6.01694,-0.579196,1.02513,6.02166,0.0551388,0.127259,0.127259,0,0,0.0508776,0.0508776,0,0,0,0,0,0
-0.579196,1.02513,6.02166,-0.553516,1.07583,6.02847,0.0572426,0.127259,0.127259,0,0,0.0508776,0.0508776,0,0,0,0,0,0
-0.553516,1.07583,6.02847,-0.523978,1.12555,6.03684,0.0584284,0.127259,0.127259,0,0,0.0508776,0.0508776,0,0,0,0,0,0
-0.523978,1.12555,6.03684,-0.574096,1.14458,5.98596,0.0739107,0.0844505,0.0844505,0,0,0.0508776,0.0224055,0,0,0,0,0,0
-0.523978,1.12555,6.03684,-0.479007,1.18927,6.01941,0.0799215,0.170178,0.170178,0,0,0.0508776,0.0909823,0,0,0,0,0,0
-0.574096,1.14458,5.98596,-0.623901,1.16261,5.93485,0.0736078,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.623901,1.16261,5.93485,-0.67339,1.17965,5.8835,0.0733205,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.67339,1.17965,5.8835,-0.722557,1.19574,5.83193,0.0730481,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.722557,1.19574,5.83193,-0.7714,1.21087,5.78012,0.07279,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.7714,1.21087,5.78012,-0.819915,1.22509,5.72809,0.0725457,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.819915,1.22509,5.72809,-0.868098,1.2384,5.67584,0.0723149,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.868098,1.2384,5.67584,-0.915944,1.25082,5.62336,0.0720965,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.915944,1.25082,5.62336,-0.963451,1.26238,5.57065,0.0718902,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-0.963451,1.26238,5.57065,-1.01061,1.27309,5.51773,0.0716954,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.01061,1.27309,5.51773,-1.05743,1.28298,5.46458,0.0715115,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.05743,1.28298,5.46458,-1.10389,1.29206,5.41122,0.0713381,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.10389,1.29206,5.41122,-1.15,1.30035,5.35764,0.0711743,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.15,1.30035,5.35764,-1.19575,1.30788,5.30384,0.07102,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.19575,1.30788,5.30384,-1.24114,1.31466,5.24983,0.0708744,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.24114,1.31466,5.24983,-1.28616,1.32072,5.1956,0.070737,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.28616,1.32072,5.1956,-1.33081,1.32607,5.14117,0.0706071,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.33081,1.32607,5.14117,-1.37508,1.33073,5.08652,0.0704847,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
-1.37508,1.33073,5.08652,-1.41898,1.33472,5.03167,0.0703688,0.0844505,0.0844505,0,0,0.0224055,0.0224055,0,0,0,0,0,0
