"x1","y1","z1","x2","y2","z2","l","r1","r2","Q1","Q2","p1","p2","Q1v","Q2v","p1v","p2v","S1","S2"
-1.06905,1.28525,5.45124,-1.11542,1.29413,5.39782,0.0177965,0.0844505,0.0844505,15.1221,15.1221,-42.8239,-43.0962,0,0,0,0,15.1221,15.1221
-1.11542,1.29413,5.39782,-1.16144,1.30224,5.34419,0.0177568,0.0844505,0.0844505,15.1221,15.1221,-43.0962,-43.3689,0,0,0,0,15.1221,15.1221
-1.16144,1.30224,5.34419,-1.2071,1.30958,5.29034,0.0177171,0.0844505,0.0844505,15.1221,15.1221,-43.3689,-43.6421,0,0,0,0,15.1221,15.1221
-1.2071,1.30958,5.29034,-1.25239,1.31618,5.23627,0.0176846,0.0844505,0.0844505,15.1221,15.1221,-43.6421,-43.9158,0,0,0,0,15.1221,15.1221
-1.25239,1.31618,5.23627,-1.29732,1.32206,5.18199,0.0176514,0.0844505,0.0844505,15.1221,15.1221,-43.9158,-44.1901,0,0,0,0,15.1221,15.1221
-1.29732,1.32206,5.18199,-1.34188,1.32723,5.12751,0.0176206,0.0844505,0.0844505,15.1221,15.1221,-44.1901,-44.465,0,0,0,0,15.1221,15.1221
-1.34188,1.32723,5.12751,-1.38606,1.33173,5.07281,0.0175933,0.0844505,0.0844505,15.1221,15.1221,-44.465,-44.7405,0,0,0,0,15.1221,15.1221
-1.38606,1.33173,5.07281,-1.42986,1.33556,5.0179,0.0175697,0.0844505,0.0844505,15.1221,15.1221,-44.7405,-45.0168,0,0,0,0,15.1221,15.1221
-1.42986,1.33556,5.0179,-1.47328,1.33875,4.96279,0.0175403,0.0844505,0.0844505,15.1221,15.1221,-45.0168,-45.2937,0,0,0,0,15.1221,15.1221
-1.47328,1.33875,4.96279,-1.51631,1.34131,4.90748,0.0175055,0.0844505,0.0844505,15.1221,15.1221,-45.2937,-45.5713,0,0,0,0,15.1221,15.1221
-1.51631,1.34131,4.90748,-1.55895,1.34327,4.85196,0.0174945,0.0844505,0.0844505,15.1221,15.1221,-45.5713,-45.8498,0,0,0,0,15.1221,15.1221
-1.55895,1.34327,4.85196,-1.6012,1.34465,4.79624,0.0174637,0.0844505,0.0844505,15.1221,15.1221,-45.8498,-46.129,0,0,0,0,15.1221,15.1221
-1.6012,1.34465,4.79624,-1.64305,1.34547,4.74031,0.0174506,0.0844505,0.0844505,15.1221,15.1221,-46.129,-46.4091,0,0,0,0,15.1221,15.1221
-1.64305,1.34547,4.74031,-1.6845,1.34569,4.68419,0.0174314,0.0844505,0.0844505,15.1221,15.1221,-46.4091,-46.69,0,0,0,0,15.1221,15.1221
-1.6845,1.34569,4.68419,-1.72561,1.34509,4.62784,0.0174484,0.0844505,0.0844505,15.1221,15.1221,-46.69,-46.972,0,0,0,0,15.1221,15.1221
-1.72561,1.34509,4.62784,-1.76643,1.34333,4.57125,0.0174667,0.0844505,0.0844505,15.1221,15.1221,-46.972,-47.2555,0,0,0,0,15.1221,15.1221
-1.76643,1.34333,4.57125,-1.80697,1.34041,4.51442,0.0174801,0.0844505,0.0844505,15.1221,15.1221,-47.2555,-47.5405,0,0,0,0,15.1221,15.1221
-1.80697,1.34041,4.51442,-1.84723,1.33636,4.45734,0.0175143,0.0844505,0.0844505,15.1221,15.1221,-47.5405,-47.8271,0,0,0,0,15.1221,15.1221
-1.84723,1.33636,4.45734,-1.88719,1.33119,4.40002,0.0175396,0.0844505,0.0844505,15.1221,15.1221,-47.8271,-48.1155,0,0,0,0,15.1221,15.1221
-1.88719,1.33119,4.40002,-1.92686,1.32493,4.34246,0.0175746,0.0844505,0.0844505,15.1221,15.1221,-48.1155,-48.4056,0,0,0,0,15.1221,15.1221
-1.92686,1.32493,4.34246,-1.96622,1.31759,4.28466,0.0176085,0.0844505,0.0844505,15.1221,15.1221,-48.4056,-48.6976,0,0,0,0,15.1221,15.1221
-1.96622,1.31759,4.28466,-2.00529,1.30921,4.22663,0.0176417,0.0844505,0.0844505,15.1221,15.1221,-48.6976,-48.9915,0,0,0,0,15.1221,15.1221
-2.00529,1.30921,4.22663,-2.04404,1.29979,4.16836,0.0176816,0.0844505,0.0844505,15.1221,15.1221,-48.9915,-49.2874,0,0,0,0,15.1221,15.1221
-2.04404,1.29979,4.16836,-2.08249,1.28936,4.10986,0.0177256,0.0844505,0.0844505,15.1221,15.1221,-49.2874,-49.5854,0,0,0,0,15.1221,15.1221
-2.08249,1.28936,4.10986,-2.12062,1.27794,4.05112,0.0177734,0.0844505,0.0844505,15.1221,15.1221,-49.5854,-49.8856,0,0,0,0,15.1221,15.1221
-2.12062,1.27794,4.05112,-2.15843,1.26555,3.99215,0.0178216,0.0844505,0.0844505,15.1221,15.1221,-49.8856,-50.188,0,0,0,0,15.1221,15.1221
-2.15843,1.26555,3.99215,-2.19591,1.25221,3.93296,0.0178668,0.0844505,0.0844505,15.1221,15.1221,-50.188,-50.4927,0,0,0,0,15.1221,15.1221
-2.19591,1.25221,3.93296,-2.23307,1.23794,3.87353,0.0179218,0.0844505,0.0844505,15.1221,15.1221,-50.4927,-50.7998,0,0,0,0,15.1221,15.1221
-2.23307,1.23794,3.87353,-2.2699,1.22276,3.81388,0.0179728,0.0844505,0.0844505,15.1221,15.1221,-50.7998,-51.1092,0,0,0,0,15.1221,15.1221
-2.2699,1.22276,3.81388,-2.30639,1.20669,3.75401,0.0180238,0.0844505,0.0844505,15.1221,15.1221,-51.1092,-51.4212,0,0,0,0,15.1221,15.1221
-2.30639,1.20669,3.75401,-2.34254,1.18976,3.69391,0.0180787,0.0844505,0.0844505,15.1221,15.1221,-51.4212,-51.7357,0,0,0,0,15.1221,15.1221
-2.34254,1.18976,3.69391,-2.37835,1.17198,3.63359,0.018133,0.0844505,0.0844505,15.1221,15.1221,-51.7357,-52.0527,0,0,0,0,15.1221,15.1221
-2.37835,1.17198,3.63359,-2.41381,1.15337,3.57305,0.0181936,0.0844505,0.0844505,15.1221,15.1221,-52.0527,-52.3724,0,0,0,0,15.1221,15.1221
-2.41381,1.15337,3.57305,-2.44892,1.13396,3.51229,0.0182433,0.0844505,0.0844505,15.1221,15.1221,-52.3724,-52.6948,0,0,0,0,15.1221,15.1221
